hardware,model,prefix,cache,concurrency,repeats,requests,successful,failed,mean_completion_tokens_per_s,min_completion_tokens_per_s,max_completion_tokens_per_s,mean_latency_p95_s,mean_ttft_p95_s
a10080,1.5b,shared,0,1,4,256,256,0,208.95324330535325,207.4074885233518,209.9663095348392,0.6276476495433598,0.025551158748567105
a10080,1.5b,shared,0,4,4,256,256,0,757.1359378482659,753.549112323633,761.8171014637978,0.6932294086553157,0.056854620249941944
a10080,1.5b,shared,0,16,4,256,256,0,2573.935936829194,2566.557251740044,2578.1197010639567,0.8249822683632374,0.14268400645814835
a10080,1.5b,shared,0,32,4,256,256,0,4147.42374046522,4106.218805324948,4170.987534647163,1.0717863847035916,0.26776141622103755
a10080,1.5b,shared,1,1,4,256,256,0,211.12122352630493,209.8453513230982,212.00650618738928,0.6180542184505612,0.01688284967094658
a10080,1.5b,shared,1,4,4,256,256,0,775.6370124878823,773.3406606868543,780.843783962395,0.6744698063936084,0.028913764469325535
a10080,1.5b,shared,1,16,4,256,256,0,2859.3329322089394,2808.214415035087,2889.357766643986,0.732553468644619,0.05589823462069034
a10080,1.5b,shared,1,32,4,256,256,0,5086.8985792428775,5051.714654432062,5110.543941492267,0.8100832594558597,0.07344491626136004
a10080,1.5b,unique,0,1,4,256,256,0,209.12776544943802,208.85639078947435,209.28803826698973,0.6272843964397907,0.025982944807037712
a10080,1.5b,unique,0,4,4,256,256,0,758.7806399061965,755.8176861663778,762.9352562367131,0.694298631278798,0.05901078069582581
a10080,1.5b,unique,0,16,4,256,256,0,2540.3251915095807,2527.8478384028685,2565.585487002028,0.8354866852052509,0.14948719087988138
a10080,1.5b,unique,0,32,4,256,256,0,4016.4174563955025,3909.612276706985,4081.0801566832406,1.1075492364820092,0.2841489344835281
a10080,1.5b,unique,1,1,4,256,256,0,208.2179603249306,207.63325371216368,208.55344007599632,0.6288848883472383,0.026012105075642465
a10080,1.5b,unique,1,4,4,256,256,0,756.5318746096134,755.0835688750813,759.1439528426531,0.6987758160103112,0.0597851840313524
a10080,1.5b,unique,1,16,4,256,256,0,2522.3909900466806,2506.826470629301,2543.3109189305933,0.8420268044341355,0.14956292579881847
a10080,1.5b,unique,1,32,4,256,256,0,4029.0862532448177,4011.3574018312656,4039.3367495217167,1.1107594018802047,0.2841454804409295
a10080,7b,shared,0,1,4,256,256,0,89.05217004700208,88.94002638154278,89.15974078737243,1.480538468575105,0.08036957327276469
a10080,7b,shared,0,4,4,256,256,0,327.8972929815956,327.3872823249731,328.39070275044605,1.6510996398981659,0.19694215580821037
a10080,7b,shared,0,16,4,256,256,0,1007.7816004691836,1004.528273085707,1011.5003822274167,2.1817111736629156,0.5342671163380146
a10080,7b,shared,0,32,4,256,256,0,1546.096449234511,1541.8058925289545,1549.8835679388683,3.1923005877062676,1.0150646192021666
a10080,7b,shared,1,1,4,256,256,0,90.64166617140567,90.58413034123218,90.70851090430534,1.4209265370853246,0.02189792548306286
a10080,7b,shared,1,4,4,256,256,0,350.35293198150873,349.70127935746876,350.86826607109,1.5288293404504654,0.07005196660757053
a10080,7b,shared,1,16,4,256,256,0,1257.512101023996,1254.046429311439,1262.0035689588526,1.7033864685334266,0.16252995394170283
a10080,7b,shared,1,32,4,256,256,0,2256.460583928056,2225.061697406397,2269.7226418478817,1.8816462165676058,0.22233949434012173
a10080,7b,unique,0,1,4,256,256,0,88.98424920201857,88.92408370823647,89.10558583494527,1.4822297816630454,0.08089074017480016
a10080,7b,unique,0,4,4,256,256,0,326.16541002822163,325.4225872497073,326.57394340979056,1.6588000618852674,0.20416874606162308
a10080,7b,unique,0,16,4,256,256,0,982.2711065384289,979.7411724206673,985.8212309229745,2.296616902714595,0.5808476622682064
a10080,7b,unique,0,32,4,256,256,0,1494.4400996330728,1487.5000882594345,1501.5191010253443,3.3323319494724273,1.1082341776695102
a10080,7b,unique,1,1,4,256,256,0,88.83418930826046,88.79775853319741,88.90440893048005,1.484055543737486,0.0809558026958257
a10080,7b,unique,1,4,4,256,256,0,325.81411858016725,325.5476347554312,326.21588526899956,1.6612426650244743,0.2085636857897043
a10080,7b,unique,1,16,4,256,256,0,986.7582183290803,984.2366127739264,991.0379352726881,2.2994865261949595,0.5890328676905481
a10080,7b,unique,1,32,4,256,256,0,1500.4411375302082,1494.9289179231696,1507.6056633398298,3.3067017053719607,1.0655068157706409
rtx4090,1.5b,shared,0,1,4,256,256,0,190.53554207378195,187.30703344912536,192.1879422841204,0.6891871531319339,0.03618463208549656
rtx4090,1.5b,shared,0,4,4,256,256,0,626.2621267985172,616.1486677366436,631.232943532006,0.8507942459604237,0.07562676914967596
rtx4090,1.5b,shared,0,16,4,256,256,0,2170.8334784812664,2122.5190868479613,2189.70659048759,0.9864162423473317,0.2017918289406225
rtx4090,1.5b,shared,0,32,4,256,256,0,3423.369721998314,3390.4463033603165,3477.6256994137634,1.2563084892113692,0.372897743229987
rtx4090,1.5b,shared,1,1,4,256,256,0,192.53427957087501,189.51972376445332,193.5624069652321,0.6818462726252619,0.020818049513036382
rtx4090,1.5b,shared,1,4,4,256,256,0,643.9880778484957,634.3933493409281,648.7826342173182,0.8211426478985231,0.03742453121230936
rtx4090,1.5b,shared,1,16,4,256,256,0,2466.765339873791,2378.957871991062,2512.1536549170623,0.8566313445335254,0.08731062721926719
rtx4090,1.5b,shared,1,32,4,256,256,0,4399.773958238931,4342.113808722148,4461.272511665787,0.9318420302181039,0.09411536633269861
rtx4090,1.5b,unique,0,1,4,256,256,0,191.48474607925382,191.09679905889683,192.02948918331003,0.6884726297052112,0.0376544960134197
rtx4090,1.5b,unique,0,4,4,256,256,0,619.2613539796669,607.6611396463205,627.913126470125,0.8614695853553712,0.08017072337097488
rtx4090,1.5b,unique,0,16,4,256,256,0,2159.2909205710466,2144.863392341127,2166.9437741429015,1.0104398276598658,0.2095460056734737
rtx4090,1.5b,unique,0,32,4,256,256,0,3294.8962360948003,3213.016328238955,3358.868247731143,1.304228508239612,0.3810575430863537
rtx4090,1.5b,unique,1,1,4,256,256,0,189.87887258238536,187.6275173244178,190.87694403656315,0.6961694363155402,0.0373279437655583
rtx4090,1.5b,unique,1,4,4,256,256,0,617.2719021097691,608.6490057259052,622.2788160212,0.868031086504925,0.07860265637864358
rtx4090,1.5b,unique,1,16,4,256,256,0,2142.5306123476635,2119.9680955714625,2152.78086173814,0.9967528459324967,0.2051170148421079
rtx4090,1.5b,unique,1,32,4,256,256,0,3300.4213448424493,3238.6059245060196,3361.158143942652,1.2898845839081332,0.3983397804957349
rtx4090,7b,shared,0,1,4,256,256,0,59.1241458398375,59.10845285117908,59.15980474993606,2.222564710263396,0.11383419674821198
rtx4090,7b,shared,0,4,4,256,256,0,214.90349975530643,214.50515503748758,215.28138839106282,2.5099226091755553,0.28936837570508944
rtx4090,7b,shared,0,16,4,256,256,0,679.6636966154069,678.0674647216961,681.7799416318986,3.199110995384399,0.8007270275731571
rtx4090,7b,shared,0,32,4,256,256,0,1009.3592991417038,1006.8718790351198,1011.5325260472875,4.824829158530338,1.5276957256312014
rtx4090,7b,shared,1,1,4,256,256,0,59.90915846567229,59.68598249121797,60.03623998771395,2.159749187651323,0.0335828065581154
rtx4090,7b,shared,1,4,4,256,256,0,228.35408955705324,225.56034502415392,229.78699147267858,2.3320572353608435,0.07504724842729046
rtx4090,7b,shared,1,16,4,256,256,0,853.0074767247362,848.8925402099741,855.9850400084038,2.510819552926114,0.24050324527779593
rtx4090,7b,shared,1,32,4,256,256,0,1483.4887613777005,1474.378907487675,1489.0670474510093,2.8381908345327247,0.2886556329438463
rtx4090,7b,unique,0,1,4,256,256,0,58.706726754105404,58.34889992526481,59.09315941255706,2.246431509096874,0.11995596017804928
rtx4090,7b,unique,0,4,4,256,256,0,212.64388078989265,211.01973976712074,213.38127417098696,2.54368224144564,0.3043331471330021
rtx4090,7b,unique,0,16,4,256,256,0,660.6249021901469,653.2905091907046,664.6994202561469,3.3313544301490765,0.8097668274131138
rtx4090,7b,unique,0,32,4,256,256,0,969.4014134900867,966.337705420449,973.1666237801709,5.14367632906069,1.68136883364059
rtx4090,7b,unique,1,1,4,256,256,0,58.96993113503996,58.93118427457877,59.00971025184268,2.2300133498793,0.11570057117496617
rtx4090,7b,unique,1,4,4,256,256,0,213.509303998212,213.3848792576536,213.57878782759852,2.528925073624123,0.2963132905948441
rtx4090,7b,unique,1,16,4,256,256,0,665.9025974951592,663.8666011870123,668.0410643347543,3.4072691720910364,0.8401184424990785
rtx4090,7b,unique,1,32,4,256,256,0,979.5183310638802,974.5513556782427,983.7239654902475,5.0394592013326465,1.610496061417507
