hardware,repeat,model,prefix,cache,concurrency,requests,successful,failed,completion_tokens_per_s,latency_p95_s,ttft_p95_s
rtx4090,1,1.5b,shared,0,1,64,64,0,191.55730360077337,0.6838499756762758,0.03710799047257751
rtx4090,1,1.5b,shared,0,4,64,64,0,628.596645685058,0.8521667936583981,0.08401905307546258
rtx4090,1,1.5b,shared,0,16,64,64,0,2185.427246336999,1.0019377105636522,0.20155151509679853
rtx4090,1,1.5b,shared,0,32,64,64,0,3390.4463033603165,1.2431494949851185,0.38193716024979946
rtx4090,1,1.5b,shared,1,1,64,64,0,193.51700765215514,0.6683078783098608,0.020944848912768058
rtx4090,1,1.5b,shared,1,4,64,64,0,648.7826342173182,0.8113425892777741,0.04367209435440599
rtx4090,1,1.5b,shared,1,16,64,64,0,2480.3747110183413,0.8631343071116134,0.09117056226823479
rtx4090,1,1.5b,shared,1,32,64,64,0,4349.552417138936,0.9403065042337403,0.10088242236524819
rtx4090,1,1.5b,unique,0,1,64,64,0,192.02948918331003,0.6864259300054982,0.03699976298958063
rtx4090,1,1.5b,unique,0,4,64,64,0,627.913126470125,0.8588455069577321,0.0882391127059236
rtx4090,1,1.5b,unique,0,16,64,64,0,2165.143857960281,1.0748269706964493,0.2139639371773228
rtx4090,1,1.5b,unique,0,32,64,64,0,3358.868247731143,1.2619232723722233,0.3309037584811449
rtx4090,1,1.5b,unique,1,1,64,64,0,190.87694403656315,0.6840559425065293,0.03738773746881634
rtx4090,1,1.5b,unique,1,4,64,64,0,618.3722636501394,0.8819327099714427,0.08177986466325819
rtx4090,1,1.5b,unique,1,16,64,64,0,2149.8278308164145,0.9995601970236748,0.2006647936766967
rtx4090,1,1.5b,unique,1,32,64,64,0,3318.57866476644,1.2662377949571237,0.3978291149251163
rtx4090,1,7b,shared,0,1,64,64,0,59.11301783760936,2.219856278039515,0.11397705236449837
rtx4090,1,7b,shared,0,4,64,64,0,215.28138839106282,2.5393677095649765,0.31987747175153347
rtx4090,1,7b,shared,0,16,64,64,0,679.1056982525361,3.306622967333533,0.7678355363896114
rtx4090,1,7b,shared,0,32,64,64,0,1006.8718790351198,4.522808149131015,1.2830425256164744
rtx4090,1,7b,shared,1,1,64,64,0,60.03623998771395,2.1447493472369388,0.03414122972171753
rtx4090,1,7b,shared,1,4,64,64,0,229.34436657718098,2.316563376551494,0.1174682596931234
rtx4090,1,7b,shared,1,16,64,64,0,854.2244435479114,2.5021560611901803,0.23459866610355676
rtx4090,1,7b,shared,1,32,64,64,0,1487.329312514416,2.8143833191366867,0.28770756602752956
rtx4090,1,7b,unique,0,1,64,64,0,59.09315941255706,2.2253252340247855,0.11886260041501373
rtx4090,1,7b,unique,0,4,64,64,0,213.17012167710516,2.566416194918565,0.339403774170205
rtx4090,1,7b,unique,0,16,64,64,0,660.9526711907062,3.3932056005345657,0.7874883957207203
rtx4090,1,7b,unique,0,32,64,64,0,968.0441522328739,4.801455895486288,1.4291258675977587
